user_id,activity_date,match_type,finish_position,bots,n_matches
6822,2024-02-16,A,1,1,3
5105,2024-01-12,A,3,3,1
12614,2024-01-23,A,2,2,1
4183,2024-02-15,A,4,0,1
4800,2024-02-02,A,1,1,1
3162,2023-12-02,C,3,0,1
8860,2024-02-16,C,4,4,1
1071,2024-02-11,C,2,2,1
9146,2024-01-10,C,1,1,1
12211,2023-12-31,A,2,2,1
7593,2023-12-31,B,2,0,1
6410,2023-12-04,C,2,2,1
5652,2024-01-27,C,1,1,1
13037,2024-02-18,A,4,0,1
11438,2024-02-02,A,2,0,1
9928,2024-02-26,C,2,0,1
12917,2023-12-28,C,2,2,1
118,2024-02-10,B,1,1,1
