,user_id,platform,activity_date,acquisition_date
2777,9543,android,2024-02-23,2024-01-05
2779,9634,android,2024-01-27,2024-01-03
2781,9655,android,2024-01-19,2024-01-15
2784,9667,android,2024-02-05,2024-01-30
2790,9697,android,2024-02-29,2024-01-30
2799,9700,android,2024-02-29,2024-01-13
2800,9734,android,2024-02-04,2024-01-27
2801,9765,android,2024-01-10,2024-01-09
2803,9778,android,2024-02-26,2024-01-16
2804,9809,android,2024-01-25,2024-01-25
2805,9906,android,2024-01-30,2024-01-28
2807,9909,android,2024-02-09,2024-01-21
2809,9939,android,2024-01-17,2024-01-07
2810,10043,android,2024-01-28,2024-01-16
2823,10044,android,2024-02-07,2024-01-12
2825,10048,android,2024-02-11,2024-01-28
2826,10054,android,2024-01-22,2024-01-22
2827,10056,android,2024-01-09,2024-01-09
2834,10060,android,2024-02-28,2024-01-30
2842,10069,android,2024-02-16,2024-01-05
2843,10110,android,2024-01-14,2024-01-10
2844,10130,android,2024-02-02,2024-01-08
2848,10195,android,2024-01-30,2024-01-17
2862,10232,android,2024-02-23,2024-01-21
2865,10238,android,2024-01-07,2024-01-04
2870,10252,ios,2024-02-06,2024-01-29
2872,10361,android,2024-02-12,2024-01-14
2889,10383,android,2024-03-01,2024-01-29
2891,10434,android,2024-02-26,2024-01-27
2901,10515,android,2024-02-28,2024-01-16
2903,10528,android,2024-01-07,2024-01-02
2904,10539,ios,2024-01-02,2024-01-01
2905,10563,android,2024-02-02,2024-01-22
2925,10568,android,2024-03-01,2024-01-28
2926,10641,android,2024-01-19,2024-01-19
2927,10648,android,2024-01-18,2024-01-18
2935,10666,android,2024-02-14,2024-01-23
2937,10695,android,2024-02-28,2024-01-23
2941,10720,android,2024-02-19,2024-01-20
2942,10721,android,2024-01-14,2024-01-14
2945,10736,android,2024-01-15,2024-01-13
2946,10872,android,2024-01-14,2024-01-13
2947,10875,android,2024-01-07,2024-01-07
2948,10926,android,2024-01-16,2024-01-04
2953,10957,android,2024-01-20,2024-01-02
2954,10960,android,2024-01-13,2024-01-13
2955,10987,android,2024-01-24,2024-01-17
2956,10992,android,2024-01-27,2024-01-27
2957,11142,ios,2024-01-19,2024-01-19
2960,11190,android,2024-01-27,2024-01-19
2962,11308,android,2024-02-29,2024-01-17
2964,11334,ios,2024-02-07,2024-01-31
2966,11356,android,2024-01-25,2024-01-17
2997,11362,android,2024-02-28,2024-01-14
3011,11377,ios,2024-02-27,2024-01-15
3012,11459,ios,2024-01-20,2024-01-19
3014,11460,android,2024-01-27,2024-01-07
3016,11465,android,2024-02-15,2024-01-23
3021,11491,android,2024-02-26,2024-01-22
3032,11543,android,2024-02-25,2024-01-08
3057,11547,android,2024-03-01,2024-01-16
3064,11558,android,2024-02-03,2024-01-21
3067,11584,android,2024-02-19,2024-01-28
3070,11754,android,2024-02-11,2024-01-30
3078,11772,android,2024-02-25,2024-01-25
3079,11773,android,2024-01-23,2024-01-23
3080,11774,ios,2024-02-01,2024-01-23
3084,11777,android,2024-01-29,2024-01-13
3085,11810,android,2024-01-05,2024-01-05
3092,11812,android,2024-02-16,2024-01-22
3093,11835,android,2024-02-04,2024-01-25
3094,11864,android,2024-01-29,2024-01-29
3097,11866,android,2024-01-20,2024-01-12
3098,11880,android,2024-02-17,2024-01-30
3101,11953,android,2024-02-03,2024-01-21
3103,11998,android,2024-01-23,2024-01-21
3105,12007,ios,2024-01-13,2024-01-10
3106,12083,android,2024-01-18,2024-01-12
3114,12099,ios,2024-03-01,2024-01-19
3115,12104,android,2024-01-13,2024-01-13
3117,12131,android,2024-02-01,2024-01-27
3120,12143,android,2024-02-20,2024-01-22
3122,12145,android,2024-02-12,2024-01-17
3123,12156,android,2024-02-01,2024-01-16
3124,12213,ios,2024-02-06,2024-01-26
3126,12228,android,2024-02-13,2024-01-22
3144,12242,android,2024-03-01,2024-01-19
